"Date","Price","Open","High","Low","Vol.","Change %"
"01/11/2024","0.760240","0.757935","0.761970","0.756975","","0.34%"
"01/10/2024","0.757680","0.757230","0.759590","0.755545","","0.10%"
"01/09/2024","0.756940","0.762090","0.764040","0.756465","","-0.65%"
"01/08/2024","0.761860","0.760395","0.762410","0.756710","","0.25%"
"01/05/2024","0.759930","0.760725","0.764990","0.755985","","0.01%"
"01/04/2024","0.759840","0.763120","0.765880","0.759980","","-0.36%"
"01/03/2024","0.762590","0.762800","0.766575","0.761265","","0.11%"
"01/02/2024","0.761740","0.773215","0.774620","0.760495","","-1.31%"
"01/01/2024","0.771870","0.772320","0.772470","0.772320","","0.01%"
"12/29/2023","0.771770","0.775310","0.778915","0.768030","","-0.41%"
"12/28/2023","0.774970","0.772270","0.778125","0.771820","","0.40%"
"12/27/2023","0.771850","0.772225","0.774160","0.771325","","0.10%"
"12/26/2023","0.771050","0.771370","0.774100","0.769140","","-0.01%"
"12/25/2023","0.771120","0.769985","0.771530","0.769550","","0.19%"
"12/22/2023","0.769620","0.771035","0.771720","0.766910","","-0.11%"
"12/21/2023","0.770490","0.767270","0.771655","0.764595","","0.57%"
"12/20/2023","0.766150","0.768730","0.770965","0.766180","","-0.29%"
"12/19/2023","0.768360","0.766905","0.769390","0.763015","","0.28%"
"12/18/2023","0.766180","0.767990","0.771445","0.766065","","-0.14%"
"12/15/2023","0.767220","0.775220","0.776410","0.766405","","-0.93%"
"12/14/2023","0.774440","0.765505","0.776205","0.765505","","2.23%"
"12/13/2023","0.757550","0.761915","0.762570","0.756815","","-0.48%"
"12/12/2023","0.761240","0.759455","0.765080","0.757985","","0.27%"
"12/11/2023","0.759180","0.759815","0.760830","0.756700","","0.15%"
"12/08/2023","0.758030","0.761025","0.766665","0.757320","","-0.38%"
"12/07/2023","0.760950","0.760195","0.762370","0.753050","","0.16%"
"12/06/2023","0.759730","0.761245","0.763405","0.758620","","-0.13%"
"12/05/2023","0.760690","0.762965","0.764590","0.758295","","-0.23%"
"12/04/2023","0.762430","0.772820","0.772950","0.761440","","-1.16%"
"12/01/2023","0.771390","0.768690","0.772810","0.764065","","0.46%"
"11/30/2023","0.767870","0.774795","0.777345","0.768275","","-0.85%"
"11/29/2023","0.774430","0.776185","0.778120","0.772510","","-0.20%"
"11/28/2023","0.775980","0.770170","0.777780","0.769875","","0.87%"
"11/27/2023","0.769260","0.768075","0.770615","0.764165","","0.40%"
"11/24/2023","0.766220","0.768505","0.771215","0.764040","","-0.22%"
"11/23/2023","0.767900","0.768760","0.771910","0.767150","","-0.09%"
"11/22/2023","0.768630","0.771585","0.774710","0.765675","","-0.27%"
"11/21/2023","0.770700","0.776090","0.779100","0.771230","","-0.59%"
"11/20/2023","0.775270","0.771750","0.777840","0.769250","","0.55%"
"11/17/2023","0.771040","0.773490","0.775515","0.768600","","-0.28%"
"11/16/2023","0.773190","0.766215","0.776635","0.763265","","0.95%"
"11/15/2023","0.765920","0.766215","0.771120","0.764215","","0.00%"
"11/14/2023","0.765950","0.757875","0.767550","0.751620","","1.10%"
"11/13/2023","0.757600","0.758665","0.759150","0.753940","","-0.08%"
"11/10/2023","0.758240","0.758565","0.760995","0.756460","","0.05%"
"11/09/2023","0.757860","0.763870","0.767855","0.758315","","-0.67%"
"11/08/2023","0.763000","0.766310","0.770155","0.760315","","-0.40%"
"11/07/2023","0.766040","0.769640","0.770055","0.761520","","-0.39%"
"11/06/2023","0.769040","0.764550","0.774130","0.761670","","0.84%"
"11/03/2023","0.762640","0.749430","0.766740","0.747985","","1.82%"
"11/02/2023","0.749010","0.741405","0.752715","0.741080","","1.11%"
"11/01/2023","0.740790","0.739230","0.741765","0.735420","","0.31%"
"10/31/2023","0.738470","0.742665","0.743350","0.737455","","-0.50%"
"10/30/2023","0.742190","0.736885","0.743200","0.736670","","0.76%"
"10/27/2023","0.736580","0.738780","0.741970","0.736185","","-0.23%"
"10/26/2023","0.738300","0.739150","0.739805","0.734900","","-0.08%"
"10/25/2023","0.738900","0.743855","0.744470","0.738465","","-0.63%"
"10/24/2023","0.743600","0.744220","0.746130","0.741970","","0.01%"
"10/23/2023","0.743530","0.740545","0.744760","0.737830","","0.50%"
"10/20/2023","0.739850","0.736850","0.741190","0.735410","","0.51%"
"10/19/2023","0.736100","0.737740","0.739285","0.734820","","-0.12%"
"10/18/2023","0.737000","0.738795","0.742090","0.736200","","-0.20%"
"10/17/2023","0.738450","0.741685","0.742315","0.736415","","-0.42%"
"10/16/2023","0.741550","0.739050","0.742005","0.737125","","0.41%"
"10/13/2023","0.738550","0.741070","0.742285","0.738575","","-0.31%"
"10/12/2023","0.740830","0.746525","0.748905","0.739845","","-0.66%"
"10/11/2023","0.745730","0.744805","0.747900","0.744095","","0.22%"
"10/10/2023","0.744090","0.742020","0.745195","0.739555","","0.34%"
"10/09/2023","0.741550","0.743760","0.743950","0.738010","","-0.28%"
"10/06/2023","0.743650","0.742745","0.744720","0.736860","","0.17%"
"10/05/2023","0.742400","0.739490","0.743525","0.738315","","0.46%"
"10/04/2023","0.739020","0.734190","0.740730","0.733065","","0.73%"
"10/03/2023","0.733670","0.736840","0.738015","0.733270","","-0.33%"
"10/02/2023","0.736100","0.739285","0.741170","0.735440","","-0.33%"
"09/29/2023","0.738550","0.740430","0.745300","0.738725","","-0.17%"
"09/28/2023","0.739780","0.737745","0.742175","0.736505","","0.41%"
"09/27/2023","0.736730","0.738510","0.742210","0.735205","","-0.13%"
"09/26/2023","0.737670","0.746440","0.747765","0.738015","","-1.09%"
"09/25/2023","0.745770","0.748745","0.751795","0.745445","","-0.30%"
"09/22/2023","0.747990","0.746505","0.751455","0.745255","","0.24%"
"09/21/2023","0.746190","0.749940","0.750935","0.743690","","-0.48%"
"09/20/2023","0.749810","0.752445","0.755490","0.748530","","-0.32%"
"09/19/2023","0.752230","0.755260","0.757900","0.752175","","-0.37%"
"09/18/2023","0.754990","0.752205","0.756025","0.751840","","0.43%"
"09/15/2023","0.751720","0.751850","0.755000","0.751405","","0.02%"
"09/14/2023","0.751580","0.752890","0.755785","0.751250","","-0.08%"
"09/13/2023","0.752210","0.753735","0.755475","0.750720","","-0.14%"
"09/12/2023","0.753270","0.754115","0.755825","0.752190","","-0.02%"
"09/11/2023","0.753430","0.748310","0.754610","0.748255","","0.79%"
"09/08/2023","0.747510","0.749185","0.751030","0.747520","","-0.12%"
"09/07/2023","0.748440","0.749325","0.751605","0.746780","","-0.05%"
"09/06/2023","0.748790","0.751910","0.752770","0.747385","","-0.35%"
"09/05/2023","0.751390","0.758485","0.759410","0.748675","","-0.85%"
"09/04/2023","0.757800","0.758460","0.760105","0.756425","","-0.02%"
"09/01/2023","0.757940","0.754450","0.762255","0.753935","","0.49%"
"08/31/2023","0.754270","0.755400","0.757570","0.753650","","-0.13%"
"08/30/2023","0.755230","0.758375","0.758415","0.754015","","-0.37%"
"08/29/2023","0.758060","0.755160","0.758650","0.752365","","0.41%"
"08/28/2023","0.754930","0.754960","0.758090","0.753140","","0.07%"
"08/25/2023","0.754420","0.752815","0.757675","0.751530","","0.29%"
"08/24/2023","0.752250","0.753050","0.758790","0.751735","","0.01%"
"08/23/2023","0.752200","0.745815","0.753750","0.744975","","0.93%"
"08/22/2023","0.745260","0.746245","0.749565","0.744830","","0.03%"
"08/21/2023","0.745070","0.746175","0.747350","0.743580","","-0.07%"
"08/18/2023","0.745620","0.746400","0.750495","0.743590","","-0.07%"
"08/17/2023","0.746140","0.745185","0.749060","0.743845","","0.26%"
