"Date","Price","Open","High","Low","Vol.","Change %"
"03/09/2017","0.2666","0.2666","0.2667","0.2665","","0.00%"
"03/08/2017","0.2666","0.2666","0.2667","0.2665","","0.00%"
"03/07/2017","0.2666","0.2666","0.2667","0.2665","","0.00%"
"03/06/2017","0.2666","0.2666","0.2667","0.2666","","0.00%"
"03/03/2017","0.2666","0.2666","0.2666","0.2665","","0.00%"
"03/02/2017","0.2666","0.2666","0.2667","0.2665","","0.00%"
"03/01/2017","0.2666","0.2666","0.2667","0.2665","","0.00%"
"02/28/2017","0.2666","0.2667","0.2667","0.2666","","0.00%"
"02/27/2017","0.2666","0.2666","0.2667","0.2666","","0.00%"
"02/24/2017","0.2666","0.2666","0.2666","0.2666","","0.00%"
"02/23/2017","0.2666","0.2667","0.2667","0.2666","","0.00%"
"02/22/2017","0.2666","0.2666","0.2667","0.2666","","0.00%"
"02/21/2017","0.2666","0.2666","0.2667","0.2666","","0.00%"
"02/20/2017","0.2666","0.2666","0.2667","0.2666","","0.00%"
"02/17/2017","0.2666","0.2665","0.2666","0.2665","","0.00%"
"02/16/2017","0.2666","0.2666","0.2667","0.2665","","0.00%"
"02/15/2017","0.2666","0.2666","0.2667","0.2665","","0.00%"
"02/14/2017","0.2666","0.2666","0.2667","0.2665","","0.00%"
"02/13/2017","0.2666","0.2666","0.2667","0.2665","","0.00%"
"02/10/2017","0.2666","0.2665","0.2666","0.2665","","0.00%"
"02/09/2017","0.2666","0.2666","0.2667","0.2665","","0.00%"
"02/08/2017","0.2666","0.2666","0.2667","0.2665","","0.00%"
"02/07/2017","0.2666","0.2666","0.2667","0.2665","","0.00%"
"02/06/2017","0.2666","0.2666","0.2667","0.2665","","0.00%"
"02/03/2017","0.2666","0.2666","0.2666","0.2665","","0.00%"
"02/02/2017","0.2666","0.2666","0.2667","0.2665","","0.00%"
"02/01/2017","0.2666","0.2666","0.2667","0.2665","","0.00%"
"01/31/2017","0.2666","0.2666","0.2667","0.2665","","0.00%"
"01/30/2017","0.2666","0.2666","0.2666","0.2665","","0.00%"
"01/27/2017","0.2666","0.2666","0.2666","0.2665","","0.00%"
"01/26/2017","0.2666","0.2666","0.2667","0.2665","","0.00%"
"01/25/2017","0.2666","0.2666","0.2667","0.2665","","0.00%"
"01/24/2017","0.2666","0.2666","0.2667","0.2665","","0.00%"
"01/23/2017","0.2666","0.2666","0.2667","0.2665","","0.00%"
"01/20/2017","0.2666","0.2666","0.2666","0.2665","","0.00%"
"01/19/2017","0.2666","0.2666","0.2667","0.2665","","0.00%"
"01/18/2017","0.2666","0.2666","0.2668","0.2665","","0.00%"
"01/17/2017","0.2666","0.2665","0.2667","0.2665","","0.00%"
"01/16/2017","0.2666","0.2666","0.2668","0.2665","","0.00%"
"01/13/2017","0.2666","0.2666","0.2666","0.2665","","0.00%"
"01/12/2017","0.2666","0.2666","0.2668","0.2665","","0.00%"
"01/11/2017","0.2666","0.2666","0.2668","0.2665","","0.00%"
"01/10/2017","0.2666","0.2666","0.2668","0.2665","","0.00%"
"01/09/2017","0.2666","0.2666","0.2668","0.2665","","0.00%"
"01/06/2017","0.2666","0.2666","0.2666","0.2665","","0.00%"
"01/05/2017","0.2666","0.2666","0.2667","0.2665","","0.00%"
"01/04/2017","0.2666","0.2666","0.2667","0.2665","","0.00%"
"01/03/2017","0.2666","0.2666","0.2668","0.2665","","0.00%"
"01/02/2017","0.2666","0.2666","0.2668","0.2664","","0.00%"
"12/30/2016","0.2666","0.2666","0.2666","0.2665","","0.00%"
"12/29/2016","0.2666","0.2666","0.2668","0.2664","","0.04%"
"12/28/2016","0.2665","0.2666","0.2667","0.2663","","0.00%"
"12/27/2016","0.2665","0.2666","0.2668","0.2663","","-0.04%"
"12/26/2016","0.2666","0.2666","0.2666","0.2665","","0.00%"
