"Date","Price","Open","High","Low","Vol.","Change %"
"04/09/2013","4.4150","4.4000","4.4150","4.3930","","0.00%"
"04/08/2013","4.4150","4.4000","4.4150","4.3930","","0.00%"
"04/06/2013","4.4150","4.4000","4.4150","4.4000","","0.00%"
"04/05/2013","4.4150","4.4000","4.4150","4.3930","","0.00%"
"04/04/2013","4.4150","4.4000","4.4150","4.3930","","0.00%"
"04/03/2013","4.4150","4.4000","4.4150","4.3930","","0.00%"
"04/02/2013","4.4150","4.4000","4.4150","4.3930","","0.00%"
"04/01/2013","4.4150","4.4000","4.4150","4.4000","","0.00%"
"03/30/2013","4.4150","4.4000","4.4150","4.4000","","0.00%"
"03/29/2013","4.4150","4.4000","4.4150","4.4000","","0.08%"
"03/28/2013","4.4115","4.4000","4.4185","4.3930","","0.00%"
"03/27/2013","4.4115","4.4000","4.4185","4.3930","","-0.08%"
"03/26/2013","4.4150","4.4000","4.4150","4.3930","","0.00%"
"03/25/2013","4.4150","4.4000","4.4150","4.3930","","0.00%"
"03/23/2013","4.4150","4.4000","4.4150","4.4000","","0.00%"
"03/22/2013","4.4150","4.4000","4.4150","4.3930","","0.00%"
"03/21/2013","4.4150","4.4000","4.4150","4.3930","","0.00%"
"03/20/2013","4.4150","4.4000","4.4150","4.3930","","0.00%"
"03/19/2013","4.4150","4.3930","4.4150","4.3930","","0.00%"
"03/18/2013","4.4150","4.4000","4.4150","4.3930","","0.00%"
"03/16/2013","4.4150","4.4000","4.4150","4.4000","","0.00%"
"03/15/2013","4.4150","4.3930","4.4150","4.3930","","0.00%"
"03/14/2013","4.4150","4.4000","4.4150","4.3930","","0.00%"
"03/13/2013","4.4150","4.4000","4.4150","4.3930","","0.00%"
"03/12/2013","4.4150","4.4000","4.4150","4.3930","","0.08%"
"03/11/2013","4.4115","4.4000","4.4185","4.3930","","-0.08%"
"03/09/2013","4.4150","4.4000","4.4150","4.4000","","0.00%"
"03/08/2013","4.4150","4.4000","4.4150","4.3930","","0.08%"
"03/07/2013","4.4115","4.4000","4.4185","4.3930","","-0.08%"
"03/06/2013","4.4150","4.4000","4.4150","4.3930","","0.08%"
"03/05/2013","4.4115","4.4000","4.4185","4.3930","","-0.08%"
"03/04/2013","4.4150","4.4000","4.4150","4.3930","","0.00%"
"03/02/2013","4.4150","4.4000","4.4150","4.4000","","0.08%"
"03/01/2013","4.4115","4.4000","4.4185","4.3930","","-0.08%"
"02/28/2013","4.4150","4.4000","4.4150","4.4000","","0.08%"
"02/27/2013","4.4115","4.4000","4.4185","4.3930","","-0.08%"
"02/26/2013","4.4150","4.4000","4.4150","4.3930","","0.08%"
"02/25/2013","4.4115","4.4000","4.4185","4.3930","","-0.08%"
"02/23/2013","4.4150","4.4000","4.4150","4.4000","","0.00%"
"02/22/2013","4.4150","4.4000","4.4150","4.4000","","0.00%"
"02/21/2013","4.4150","4.4000","4.4150","4.3930","","0.00%"
"02/20/2013","4.4150","4.4000","4.4150","4.3930","","0.00%"
"02/19/2013","4.4150","4.4000","4.4150","4.4000","","0.00%"
"02/18/2013","4.4150","4.4000","4.4150","4.4000","","0.00%"
"02/16/2013","4.4150","4.4000","4.4150","4.4000","","0.00%"
"02/15/2013","4.4150","4.3930","4.4150","4.3930","","0.00%"
"02/14/2013","4.4150","4.4000","4.4150","4.4000","","0.00%"
"02/13/2013","4.4150","4.4000","4.4150","4.4000","","0.00%"
"02/12/2013","4.4150","4.4000","4.4150","4.4000","","0.00%"
"02/11/2013","4.4150","4.4000","4.4150","4.4000","","0.00%"
"02/09/2013","4.4150","4.4000","4.4150","4.4000","","0.00%"
"02/08/2013","4.4150","4.4000","4.4150","4.3930","","0.00%"
"02/07/2013","4.4150","4.4000","4.4150","4.4000","","0.00%"
"02/06/2013","4.4150","4.4000","4.4150","4.4000","","0.00%"
"02/05/2013","4.4150","4.4000","4.4150","4.4000","","0.00%"
"02/04/2013","4.4150","4.4000","4.4150","4.4000","","0.00%"
"02/02/2013","4.4150","4.4000","4.4150","4.4000","","0.00%"
"02/01/2013","4.4150","4.4000","4.4150","4.3930","","0.00%"
"01/31/2013","4.4150","4.4000","4.4150","4.4000","","0.00%"
"01/30/2013","4.4150","4.4000","4.4150","4.4000","","0.00%"
"01/29/2013","4.4150","4.4000","4.4150","4.4000","","0.00%"
"01/28/2013","4.4150","4.4000","4.4150","4.4000","","0.00%"
"01/26/2013","4.4150","4.4000","4.4150","4.4000","","0.00%"
"01/25/2013","4.4150","4.4000","4.4150","4.4000","","0.00%"
"01/24/2013","4.4150","4.4000","4.4150","4.3930","","0.00%"
"01/23/2013","4.4150","4.3930","4.4150","4.3930","","0.00%"
"01/22/2013","4.4150","4.4000","4.4150","4.4000","","0.00%"
"01/21/2013","4.4150","4.4000","4.4150","4.4000","","0.00%"
"01/19/2013","4.4150","4.4000","4.4150","4.4000","","0.00%"
"01/18/2013","4.4150","4.4000","4.4150","4.3930","","0.00%"
"01/17/2013","4.4150","4.4000","4.4150","4.4000","","0.00%"
"01/16/2013","4.4150","4.4000","4.4150","4.4000","","0.00%"
"01/15/2013","4.4150","4.4000","4.4150","4.4000","","0.00%"
"01/14/2013","4.4150","4.4000","4.4150","4.4000","","0.00%"
"01/12/2013","4.4150","4.4000","4.4150","4.4000","","0.00%"
"01/11/2013","4.4150","4.4000","4.4150","4.3930","","0.00%"
"01/10/2013","4.4150","4.4000","4.4150","4.4000","","0.00%"
"01/09/2013","4.4150","4.4000","4.4150","4.4000","","0.00%"
"01/08/2013","4.4150","4.4000","4.4150","4.3930","","0.00%"
"01/07/2013","4.4150","4.4000","4.4150","4.3930","","0.00%"
"01/05/2013","4.4150","4.4000","4.4150","4.4000","","0.00%"
"01/04/2013","4.4150","4.4000","4.4150","4.4000","","0.00%"
"01/03/2013","4.4150","4.4000","4.4150","4.4000","","0.00%"
"01/02/2013","4.4150","4.4000","4.4150","4.4000","","0.00%"
"01/01/2013","4.4150","4.4000","4.4150","4.4000","","0.00%"
"12/31/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"12/29/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"12/28/2012","4.4150","4.3930","4.4150","4.3930","","0.00%"
"12/27/2012","4.4150","4.4000","4.4150","4.4000","","0.08%"
"12/26/2012","4.4115","4.4000","4.4185","4.3930","","-0.08%"
"12/25/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"12/24/2012","4.4150","4.4000","4.4150","4.3930","","0.00%"
"12/22/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"12/21/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"12/20/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"12/19/2012","4.4150","4.4000","4.4150","4.3930","","0.00%"
"12/18/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"12/17/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"12/15/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"12/14/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"12/13/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"12/12/2012","4.4150","4.4000","4.4150","4.3930","","0.00%"
"12/11/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"12/10/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"12/08/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"12/07/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"12/06/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"12/05/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"12/04/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"12/03/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"12/01/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"11/30/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"11/29/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"11/28/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"11/27/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"11/26/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"11/24/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"11/23/2012","4.4150","4.4000","4.4150","4.3930","","0.00%"
"11/22/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"11/21/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"11/20/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"11/19/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"11/17/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"11/16/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"11/15/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"11/14/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"11/13/2012","4.4150","4.4000","4.4150","4.3930","","0.00%"
"11/12/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"11/10/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"11/09/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"11/08/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"11/07/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"11/06/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
"11/05/2012","4.4150","4.4000","4.4150","4.4000","","0.00%"
