Date,Close,Open,High,Low,Volume,Change%
2024-10-07,96.1996,95.7073,96.5079,95.6415,,1.26%
2024-10-04,95.0068,94.4996,96.0189,94.4807,,0.54%
2024-10-03,94.4996,95.6544,95.6591,94.4829,,-1.21%
2024-10-02,95.6544,95.8557,97.1492,94.3872,,-0.21%
2024-10-01,95.8518,92.9984,95.8944,92.6959,,3.07%
2024-09-30,93.0009,94.2467,94.351,91.9913,,-1.39%
2024-09-27,94.3107,92.6101,94.3411,92.3265,,1.83%
2024-09-26,92.6184,92.5034,92.8304,91.725,,0.12%
2024-09-25,92.5034,92.7975,92.8979,91.2394,,-0.32%
2024-09-24,92.7975,91.4771,93.5292,91.4479,,1.44%
2024-09-23,91.4771,92.6494,93.422,91.4206,,-0.95%
2024-09-20,92.3505,92.175,93.1292,92.1564,,0.19%
2024-09-19,92.1738,93.6276,93.6966,92.0975,,-1.55%
2024-09-18,93.6267,91.4992,93.8584,90.9324,,2.33%
2024-09-17,91.4919,91.4004,91.6148,90.3768,,0.10%
2024-09-16,91.4008,90.6406,91.5082,90.5034,,1.56%
2024-09-13,89.9955,91.11,91.5,90.0,,0.90%
2024-09-12,89.1955,91.01,91.575,89.2,,-2.59%
2024-09-11,91.5705,90.96,92.225,90.5,,0.63%
2024-09-10,90.9955,90.71,91.625,90.0,,0.50%
2024-09-09,90.5455,89.71,91.275,89.71,,0.22%
2024-09-06,90.3455,89.5,90.5,89.185,,2.38%
2024-09-05,88.2455,89.51,90.75,88.25,,0.86%
2024-09-04,87.4968,87.8159,90.01,87.25,,-0.34%
2024-09-03,87.7912,89.5,90.3,87.1,,-2.23%
2024-09-02,89.7955,91.81,91.81,89.0,,-0.94%
2024-08-30,90.6455,91.5,92.25,90.45,,-1.47%
2024-08-29,91.9955,91.41,92.25,91.11,,0.55%
2024-08-28,91.4955,91.01,92.1,91.01,,0.00%
2024-08-27,91.498,91.9996,92.0324,90.9492,,-0.55%
2024-08-26,91.9996,91.1472,92.3832,91.041,,0.55%
2024-08-23,91.4972,91.5062,91.7554,91.2471,,0.00%
2024-08-22,91.5,91.5008,92.5075,90.6402,,0.00%
2024-08-21,91.5,91.15,92.3792,90.8726,,0.38%
2024-08-20,91.15,90.0009,91.7587,89.1234,,1.28%
2024-08-19,90.0009,89.4586,90.1553,88.377,,0.61%
2024-08-16,89.4525,88.9248,89.5017,87.7488,,0.59%
2024-08-15,88.9248,89.7992,90.4927,88.2476,,-0.97%
2024-08-14,89.7992,90.5017,93.0017,88.0052,,-0.78%
2024-08-13,90.5017,90.9963,93.7513,90.4519,,-0.54%
2024-08-12,90.9963,86.915,91.8051,86.8712,,4.71%
2024-08-09,86.9023,86.7527,88.7045,86.7274,,0.17%
2024-08-08,86.7527,85.7378,87.0289,85.6613,,1.18%
2024-08-07,85.7378,85.6742,86.2516,84.75,,0.07%
2024-08-06,85.6742,84.8766,85.8313,84.7023,,0.94%
2024-08-05,84.8766,85.0514,87.0157,84.8266,,-0.73%
2024-08-02,85.5017,85.5171,85.9064,85.3324,,-0.02%
2024-08-01,85.5171,85.9988,86.16,85.248,,-0.56%
2024-07-31,85.9988,85.7508,86.5734,84.9727,,0.29%
2024-07-30,85.7524,86.4008,86.7056,85.7184,,-0.75%
2024-07-29,86.4008,85.9202,86.8298,85.3421,,0.34%
2024-07-26,86.1075,84.9988,86.2829,84.9824,,1.30%
2024-07-25,84.9988,86.2442,86.8241,84.8465,,-1.44%
2024-07-24,86.245,87.8443,87.8658,86.1878,,-1.82%
2024-07-23,87.8443,87.8512,88.3,86.9944,,-0.01%
2024-07-22,87.8512,87.8042,88.5036,87.3126,,0.18%
2024-07-19,87.6963,88.3996,88.4098,87.1,,-0.80%
2024-07-18,88.3996,88.5004,88.5101,87.9077,,-0.10%
2024-07-17,88.4842,88.5012,88.6093,88.0912,,-0.02%
2024-07-16,88.5012,88.0016,88.8378,87.979,,0.57%
2024-07-15,88.0016,87.6834,88.6085,87.4046,,0.14%
2024-07-12,87.8791,86.9988,88.1544,86.9885,,1.01%
2024-07-11,86.9988,88.3529,88.5795,86.9287,,-1.53%
2024-07-10,88.3463,86.4965,89.0016,86.4789,,2.14%
2024-07-09,86.4965,86.6259,88.5081,86.4725,,-0.15%
2024-07-08,86.6259,88.1216,88.9979,86.5673,,-1.57%
2024-07-05,88.0079,89.0016,91.3797,87.855,,-1.12%
2024-07-04,89.0012,88.4923,89.1042,87.7423,,0.58%
2024-07-03,88.4923,87.843,88.5234,87.5935,,0.74%
2024-07-02,87.843,86.7476,88.675,86.3391,,1.26%
2024-07-01,86.7504,85.5316,87.5524,85.3707,,1.17%
2024-06-28,85.7505,84.9997,88.2525,84.9834,,0.88%
2024-06-27,84.9997,88.2513,88.2579,84.5433,,-3.68%
2024-06-26,88.2513,87.5013,88.6533,86.2476,,0.86%
2024-06-25,87.5013,87.9988,88.5025,86.9476,,-0.57%
2024-06-24,87.9988,88.2811,89.2542,86.49,,-1.19%
2024-06-21,89.0619,87.373,89.5076,87.3563,,1.93%
2024-06-20,87.375,83.5012,87.7508,83.1073,,4.64%
2024-06-19,83.5004,85.3759,86.2544,82.7377,,-2.20%
2024-06-18,85.375,88.7255,88.8775,85.3575,,-3.78%
2024-06-17,88.7255,89.0025,89.5085,88.2426,,-0.95%
2024-06-14,89.5779,87.8755,90.2496,87.8529,,1.94%
2024-06-13,87.8754,89.0214,91.7479,85.7496,,-1.38%
2024-06-11,89.1025,88.55,89.289,88.55,,0.62%
2024-06-10,88.55,89.3475,89.435,88.55,,-0.89%
2024-06-07,89.3475,88.84,89.5113,88.5507,,0.57%
2024-06-06,88.84,88.7675,89.1032,88.4985,,0.08%
2024-06-05,88.7675,88.8,88.9875,88.4518,,-0.04%
2024-06-04,88.8,89.0875,89.3233,88.4567,,-0.32%
2024-06-03,89.0875,90.1,90.1977,88.794,,-1.12%
2024-05-31,90.1,89.8525,90.3917,89.8525,,0.28%
2024-05-30,89.8525,89.5125,90.0048,89.5125,,0.38%
2024-05-29,89.5125,88.575,89.7445,88.5725,,1.06%
2024-05-28,88.575,88.62,88.7109,88.2636,,-0.05%
2024-05-27,88.62,89.525,89.6284,88.3335,,-1.01%
2024-05-24,89.525,90.015,90.1684,89.2777,,-0.54%
2024-05-23,90.015,90.0575,90.3446,89.9772,,-0.05%
2024-05-22,90.0575,90.0875,90.3178,89.7572,,-0.03%
2024-05-21,90.0875,90.75,90.805,89.9753,,-0.73%
2024-05-20,90.75,90.95,91.15,90.4024,,-0.22%
2024-05-17,90.95,90.9675,91.0898,90.9174,,-0.02%
2024-05-16,90.9675,91.08,91.175,90.7355,,-0.12%
2024-05-15,91.08,91.2925,91.4192,90.9151,,-0.23%
2024-05-14,91.2925,91.3525,91.613,91.1475,,-0.07%
2024-05-13,91.3525,92.255,92.4158,91.2231,,-0.98%
2024-05-10,92.255,91.95,92.4407,91.7275,,0.33%
2024-05-08,91.95,91.1075,92.1281,91.1075,,0.92%
2024-05-07,91.1075,91.3475,91.4175,90.9277,,-0.26%
2024-05-06,91.3475,91.6,92.0779,90.8618,,-0.28%
2024-05-03,91.6,92.05,92.1625,91.4504,,-0.49%
2024-05-02,92.05,93.0525,93.7475,91.7506,,-1.08%
