Date,Close,Open,High,Low,Volume,Change%
2024-08-31,598.8502,598.8502,598.8502,598.8502,,0.00%
2024-08-30,598.8502,600.4707,600.5207,600.4707,,0.01%
2024-08-29,598.8002,600.5207,600.5207,600.4707,,-0.01%
2024-08-28,598.8502,600.4707,600.5207,600.4707,,0.01%
2024-08-27,598.8002,600.5207,600.5207,600.4707,,-0.01%
2024-08-26,598.8502,600.4707,600.5207,600.4707,,0.01%
2024-08-23,598.8002,600.5207,600.5207,600.4707,,-0.01%
2024-08-22,598.8502,600.4707,600.5207,600.4707,,0.01%
2024-08-21,598.8002,600.5207,600.5207,600.4707,,-0.01%
2024-08-20,598.8502,600.4707,600.5207,600.4707,,0.01%
2024-08-19,598.8002,600.5207,600.5207,600.4707,,-0.01%
2024-08-16,598.8502,600.4707,600.5207,600.4707,,0.01%
2024-08-15,598.8002,600.5207,600.5207,600.4707,,-0.01%
2024-08-14,598.8502,600.4707,600.5207,600.4707,,0.01%
2024-08-13,598.8002,600.5207,600.5207,600.4707,,-0.01%
2024-08-12,598.8502,600.4707,600.5207,600.4707,,0.01%
2024-08-09,598.8002,600.5207,600.5207,600.4707,,-0.01%
2024-08-08,598.8502,600.4707,600.5207,600.4707,,0.01%
2024-08-07,598.8002,600.5207,600.5207,600.4707,,-0.01%
2024-08-06,598.8502,600.4707,600.5207,600.4707,,0.01%
2024-08-05,598.8002,600.5207,600.5207,600.4707,,-0.01%
2024-08-02,598.8502,600.4707,600.5207,600.4707,,0.01%
2024-08-01,598.8002,600.5207,600.5207,600.4707,,-0.01%
2024-07-31,598.8502,600.4707,600.5207,600.4707,,0.01%
2024-07-30,598.8002,600.5207,600.5207,600.4707,,-0.01%
2024-07-29,598.8502,600.4707,600.5207,600.4707,,0.01%
2024-07-26,598.8002,600.5207,600.5207,600.4707,,-0.01%
2024-07-25,598.8502,600.4707,600.5207,600.4707,,0.01%
2024-07-24,598.8002,600.5207,600.5207,600.4707,,-0.01%
2024-07-23,598.8502,600.4707,600.5207,600.4707,,0.01%
2024-07-22,598.8002,600.5207,600.5207,600.4707,,-0.01%
2024-07-19,598.8502,600.4707,600.5207,600.4707,,0.01%
2024-07-18,598.8002,600.5207,600.5207,600.4707,,-0.01%
2024-07-17,598.8502,600.4707,600.5207,600.4707,,0.01%
2024-07-16,598.8002,600.5207,600.5207,600.4707,,-0.01%
2024-07-15,598.8502,600.4707,600.5207,600.4707,,0.01%
2024-07-12,598.8002,600.5207,600.5207,600.4707,,-0.01%
2024-07-11,598.8502,600.4707,600.5207,600.4707,,0.01%
2024-07-10,598.8002,600.4207,600.4707,600.4207,,0.01%
2024-07-09,598.7502,600.3707,600.4207,600.3707,,0.01%
2024-07-08,598.7002,600.4707,600.4707,600.3707,,-0.02%
2024-07-05,598.8002,600.5207,600.5207,600.4707,,-0.01%
2024-07-04,598.8502,600.5207,600.5207,600.5207,,0.00%
2024-07-03,598.8502,600.4707,600.5207,600.4707,,0.01%
2024-07-02,598.8002,600.4207,600.4707,600.4207,,0.01%
2024-07-01,598.7502,600.3707,600.4207,600.3707,,0.01%
2024-06-28,598.7002,600.4207,600.4207,600.3707,,-0.01%
2024-06-27,598.7502,600.3707,600.4207,600.3707,,0.01%
2024-06-26,598.7002,600.4207,600.4207,600.3707,,-0.01%
2024-06-25,598.7502,600.3707,600.4207,600.3707,,0.01%
2024-06-24,598.7002,600.4207,600.4207,600.3707,,-0.01%
2024-06-21,598.7502,600.3707,600.4207,600.3707,,0.01%
2024-06-20,598.7002,600.4207,600.4207,600.3707,,-0.01%
2024-06-19,598.7502,600.3707,600.4207,600.3707,,0.01%
2024-06-18,598.7002,600.4707,600.4707,600.3707,,-0.02%
2024-06-17,598.8002,600.3207,600.4707,600.3207,,0.03%
2024-06-14,598.6502,600.3707,600.3707,600.2707,,-0.01%
2024-06-13,598.7002,600.4707,600.4707,600.3707,,-0.02%
2024-06-12,598.8002,600.4207,600.4707,600.4207,,0.01%
2024-06-11,598.7502,600.3707,600.4207,600.3707,,0.01%
2024-06-10,598.7002,600.4707,600.4707,600.3707,,-0.02%
2024-06-07,598.8002,600.5207,600.5207,600.4707,,-0.01%
2024-06-06,598.8502,600.4707,600.5207,600.4707,,0.01%
2024-06-05,598.8002,600.4207,600.4707,600.4207,,0.01%
2024-06-04,598.7502,600.3707,600.4207,600.3707,,0.01%
2024-06-03,598.7002,600.5207,600.5207,600.3707,,-0.03%
2024-05-31,598.8502,600.4707,600.5207,600.4707,,0.01%
2024-05-30,598.8002,600.5207,600.5207,600.4707,,-0.01%
2024-05-29,598.8502,600.4707,600.5207,600.4707,,0.01%
2024-05-28,598.8002,600.4207,600.4707,600.4207,,0.01%
2024-05-27,598.7502,600.4207,600.4207,600.4207,,0.00%
2024-05-24,598.7502,600.3707,600.4207,600.3707,,0.01%
2024-05-23,598.7002,600.3207,600.3707,600.3207,,0.01%
2024-05-22,598.6502,600.2707,600.3207,600.2707,,0.01%
2024-05-21,598.6002,600.2207,600.2707,600.2207,,0.01%
2024-05-20,598.5502,600.4707,600.4707,600.2207,,-0.04%
2024-05-17,598.8002,600.5207,600.5207,600.4707,,-0.01%
2024-05-16,598.8502,600.4707,600.5207,600.4707,,0.01%
2024-05-15,598.8002,600.5207,600.5207,600.4707,,-0.01%
2024-05-14,598.8502,600.4707,600.5207,600.4707,,0.01%
2024-05-13,598.8002,600.5207,600.5207,600.4707,,-0.01%
2024-05-10,598.8502,600.4707,600.5207,600.4707,,0.01%
2024-05-09,598.8002,600.5207,600.5207,600.4707,,-0.01%
